dataset,encoding,preprocessing,fold,seed,n_qubits,train_accuracy,test_accuracy,f1_macro,convergence_iters,final_loss,generalization_gap,wall_time_seconds,circuit_depth,gate_count,cx_count,svm_rbf_acc,svm_rbf_f1,random_forest_acc,random_forest_f1,logistic_regression_acc,logistic_regression_f1,expressibility,entanglement_mw,kernel_alignment
iris,reuploading,zscore_sigmoid,1,43,4,0.52,0.4333,0.3972,7,1.195021,0.0867,1.98,,,,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.564836,0.4414,0.3697
iris,reuploading,zscore_sigmoid,2,44,4,0.8,0.6667,0.5333,9,0.836746,0.1333,2.27,,,,0.9,0.899749373433584,0.9333333333333333,0.9326599326599326,0.9,0.899749373433584,0.564836,0.4414,0.3697
iris,reuploading,zscore_sigmoid,3,45,4,0.98,0.8,0.7746,23,0.699471,0.18,2.47,,,,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,0.564836,0.4414,0.3697
iris,reuploading,zscore_sigmoid,4,46,4,0.78,0.3333,0.1667,1,1.418103,0.4467,2.09,,,,0.9,0.899749373433584,0.9,0.899749373433584,0.9,0.899749373433584,0.564836,0.4414,0.3697
iris,reuploading,pca_minmax,0,42,4,0.66,0.2667,0.2101,3,1.273829,0.3933,1.99,26.0,76.0,12.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9665831244778612,0.564836,0.1007,-0.2333
iris,reuploading,pca_minmax,1,43,4,0.64,0.3,0.2129,2,1.26049,0.34,1.83,,,,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.564836,0.1007,-0.2333
iris,reuploading,pca_minmax,2,44,4,0.68,0.4333,0.3619,1,1.37228,0.2467,2.0,,,,0.9,0.899749373433584,0.9,0.8976982097186701,0.8666666666666667,0.8653198653198654,0.564836,0.1007,-0.2333
iris,reuploading,pca_minmax,3,45,4,0.62,0.6333,0.638,6,0.93042,-0.0133,2.24,,,,1.0,1.0,1.0,1.0,0.9666666666666667,0.9665831244778612,0.564836,0.1007,-0.2333
iris,reuploading,pca_minmax,4,46,4,0.78,0.4333,0.3852,1,1.415043,0.3467,1.83,,,,0.9666666666666667,0.9665831244778613,0.9333333333333333,0.9333333333333332,0.9,0.899749373433584,0.564836,0.1007,-0.2333
iris,amplitude,minmax_pi,0,42,2,0.84,0.6,0.5604,7,0.674317,0.24,2.34,19.0,33.0,3.0,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,,,
iris,amplitude,minmax_pi,1,43,2,0.78,0.6667,0.5556,1,0.715612,0.1133,2.19,,,,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,,,
iris,amplitude,minmax_pi,2,44,2,0.86,0.7,0.6105,8,0.819659,0.16,2.56,,,,0.9,0.899749373433584,0.9333333333333333,0.9326599326599326,0.9,0.899749373433584,,,
iris,amplitude,minmax_pi,3,45,2,0.8,0.6,0.4935,4,0.994691,0.2,2.05,,,,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,,,
iris,amplitude,minmax_pi,4,46,2,0.8,0.6333,0.5173,8,0.9388,0.1667,2.37,,,,0.9,0.899749373433584,0.9,0.899749373433584,0.9,0.899749373433584,,,
iris,amplitude,zscore_sigmoid,0,42,2,0.96,0.6667,0.5556,5,0.803813,0.2933,2.18,19.0,33.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
iris,amplitude,zscore_sigmoid,1,43,2,0.86,0.7333,0.707,12,0.73984,0.1267,2.14,,,,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,,,
iris,amplitude,zscore_sigmoid,2,44,2,0.88,0.3667,0.2315,8,0.966299,0.5133,2.54,,,,0.9,0.899749373433584,0.9333333333333333,0.9326599326599326,0.9,0.899749373433584,,,
iris,amplitude,zscore_sigmoid,3,45,2,0.78,0.4667,0.3629,4,0.91888,0.3133,2.11,,,,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,,,
iris,amplitude,zscore_sigmoid,4,46,2,0.78,0.5333,0.4231,8,0.893098,0.2467,2.43,,,,0.9,0.899749373433584,0.9,0.899749373433584,0.9,0.899749373433584,,,
iris,amplitude,pca_minmax,0,42,2,0.94,0.7667,0.7613,8,0.749941,0.1733,2.32,19.0,33.0,3.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9665831244778612,,,
iris,amplitude,pca_minmax,1,43,2,0.84,0.5333,0.5139,6,0.957835,0.3067,2.25,,,,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,,,
iris,amplitude,pca_minmax,2,44,2,0.7,0.7,0.6656,8,1.111824,0.0,2.34,,,,0.9,0.899749373433584,0.9,0.8976982097186701,0.8666666666666667,0.8653198653198654,,,
iris,amplitude,pca_minmax,3,45,2,0.08,0.1667,0.1872,4,1.704574,-0.0867,2.13,,,,1.0,1.0,1.0,1.0,0.9666666666666667,0.9665831244778612,,,
iris,amplitude,pca_minmax,4,46,2,0.78,0.6,0.4805,6,1.336947,0.18,2.45,,,,0.9666666666666667,0.9665831244778613,0.9333333333333333,0.9333333333333332,0.9,0.899749373433584,,,
wine,angle_ry,none,0,42,8,0.6,0.5556,0.5496,3,1.014371,0.0444,5.1,21.0,110.0,14.0,0.6666666666666666,0.5192239858906526,0.9444444444444444,0.9440559440559441,0.9444444444444444,0.945824706694272,0.297916,0.0,-0.7539
wine,angle_ry,none,1,43,8,0.14,0.3056,0.3083,8,1.142513,-0.1656,5.75,,,,0.5277777777777778,0.40705467372134035,0.9722222222222222,0.9717813051146384,0.8888888888888888,0.8968253968253969,0.297916,0.0,-0.7539
wine,angle_ry,none,2,44,8,0.3,0.3889,0.3511,1,1.096674,-0.0889,5.15,,,,0.4444444444444444,0.3401801801801802,0.9166666666666666,0.9089184060721062,0.8888888888888888,0.8814814814814814,0.297916,0.0,-0.7539
wine,angle_ry,none,3,45,8,0.38,0.5429,0.55,2,1.039324,-0.1629,4.75,,,,0.6,0.4593406593406593,0.8857142857142857,0.886039886039886,0.9714285714285714,0.974320987654321,0.297916,0.0,-0.7539
wine,angle_ry,none,4,46,8,0.12,0.2571,0.2461,4,1.106643,-0.1371,5.7,,,,0.4857142857142857,0.3686868686868687,0.9714285714285714,0.9733742959549412,0.9428571428571428,0.9443609022556391,0.297916,0.0,-0.7539
wine,angle_ry,minmax_pi,0,42,8,0.04,0.25,0.2448,4,1.137743,-0.21,5.28,21.0,110.0,14.0,0.9444444444444444,0.945824706694272,0.9444444444444444,0.9440559440559441,0.9722222222222222,0.9717813051146384,0.297916,0.0,0.1423
wine,angle_ry,minmax_pi,1,43,8,0.72,0.5556,0.5141,20,1.030834,0.1644,5.59,,,,0.9722222222222222,0.974320987654321,0.9722222222222222,0.9717813051146384,0.9444444444444444,0.9487179487179488,0.297916,0.0,0.1423
wine,angle_ry,minmax_pi,2,44,8,0.42,0.4444,0.3897,4,1.135592,-0.0244,5.61,,,,0.8888888888888888,0.875,0.9166666666666666,0.9089184060721062,0.8888888888888888,0.875,0.297916,0.0,0.1423
wine,angle_ry,minmax_pi,3,45,8,0.9,0.4286,0.3554,20,1.049855,0.4714,5.39,,,,1.0,1.0,0.8857142857142857,0.886039886039886,0.9428571428571428,0.9434817813765183,0.297916,0.0,0.1423
wine,angle_ry,minmax_pi,4,46,8,0.54,0.5143,0.5005,2,1.092219,0.0257,4.94,,,,0.9714285714285714,0.9709618874773139,0.9714285714285714,0.9733742959549412,0.9714285714285714,0.9709618874773139,0.297916,0.0,0.1423
wine,angle_ry,zscore_sigmoid,0,42,8,0.4,0.4722,0.4976,1,1.112446,-0.0722,5.13,21.0,110.0,14.0,0.9444444444444444,0.945824706694272,0.9444444444444444,0.9440559440559441,0.9444444444444444,0.945824706694272,0.297916,0.0,-0.1056
wine,angle_ry,zscore_sigmoid,1,43,8,0.6,0.3611,0.3237,18,1.014166,0.2389,5.24,,,,0.9722222222222222,0.974320987654321,0.9722222222222222,0.9717813051146384,0.9444444444444444,0.9487179487179488,0.297916,0.0,-0.1056
wine,angle_ry,zscore_sigmoid,2,44,8,0.8,0.25,0.1846,1,1.265351,0.55,4.85,,,,0.9166666666666666,0.9089184060721062,0.9166666666666666,0.9089184060721062,0.8333333333333334,0.824968030690537,0.297916,0.0,-0.1056
